date,content
2019-10-30 23:58:47,RT @AprilDRyan: My weekly #AURN @aurnonline On the Record #podcast with the cast of #Harriet https://t.co/tEp3I1920J
2019-10-30 23:57:52,If they gave #Harriet to Viola Davis like they were supposed to they’d be getting BP numbers and record breaking bu… https://t.co/UQvHPdKN19
2019-10-30 23:57:31,#Harriet 01 November 2019 #BeFreeOrDie
2019-10-30 23:56:50,"RT @Behembaba: This is the best review I've read of #Harriet. It's just a bad movie y'all.

#ADOS #BreakingBrown 

https://t.co/Z8EfLhDimz"
2019-10-30 23:56:42,RT @thefilmpoll: Which new release will you see this w/end? #ArcticDogs #ArcticDogsMovie #JeremyRenner #Harriet #HarrietMovie #HarrietTubma…
2019-10-30 23:54:41,RT @AMCArtisanFilms: Watch this exclusive clip from #HARRIET. Witness the miraculous story of Harriet Tubman this weekend at AMC. https://t…
2019-10-30 23:53:11,RT @honeydelasoul: I do not support the #Harriet movie @foxsearchlight. I won’t see it. The disrespect of @CynthiaEriVo towards Harriet’s #…
2019-10-30 23:52:38,RT @HarrietFilm: Don't miss @CynthiaEriVo's incredible portrayal of the legendary freedom fighter. #HARRIET is in theaters Friday. https://…
2019-10-30 23:52:28,"RT @Behembaba: This is the best review I've read of #Harriet. It's just a bad movie y'all.

#ADOS #BreakingBrown 

https://t.co/Z8EfLhDimz"
2019-10-30 23:49:52,RT @MaLumiere: Forever and Ever and Ever. Amen. #HarrietTubman #HarrietMovie #Harriet #HarrietDeservesBetter https://t.co/xgZD63sPSi
2019-10-30 23:47:41,Forever and Ever and Ever. Amen. #HarrietTubman #HarrietMovie #Harriet #HarrietDeservesBetter https://t.co/xgZD63sPSi
2019-10-30 23:47:28,RT @HarrietFilm: Don't miss @CynthiaEriVo's incredible portrayal of the legendary freedom fighter. #HARRIET is in theaters Friday. https://…
2019-10-30 23:46:38,"RT @HistoryExtra: “It is thought that she rescued around 300 slaves directly – including some of her brothers, their families and her own p…"
2019-10-30 23:46:10,"RT @AMCArtisanFilms: Tickets are on sale now for #HARRIET. 🎟️: https://t.co/3vybM5MsvI

Get tickets now through 11/14 to see the unbelievab…"
2019-10-30 23:45:23,"@CynthiaEriVo  Just heard 'Stand Up'.... Sis, that song! Your voice! 🔥🔥 I can't even begin to tell you how this son… https://t.co/YaS2gJBdN6"
2019-10-30 23:45:16,"RT @Behembaba: This is the best review I've read of #Harriet. It's just a bad movie y'all.

#ADOS #BreakingBrown 

https://t.co/Z8EfLhDimz"
2019-10-30 23:44:49,"MY LATEST: Today’s glut of fictional female movie heroes usually has superpowers and high tech. In real life, tiny… https://t.co/hQXcxVZsoX"
2019-10-30 23:44:48,"RT @Behembaba: This is the best review I've read of #Harriet. It's just a bad movie y'all.

#ADOS #BreakingBrown 

https://t.co/Z8EfLhDimz"
2019-10-30 23:42:41,RT @honeydelasoul: I do not support the #Harriet movie @foxsearchlight. I won’t see it. The disrespect of @CynthiaEriVo towards Harriet’s #…
