date,content
2019-10-30 23:59:58,RT @PeachesJenkins3: Cynthia Erivo's dark skin will not be used to shield her from criticism over her ethnic chauvinism toward ADOS people.…
2019-10-30 23:56:42,RT @thefilmpoll: Which new release will you see this w/end? #ArcticDogs #ArcticDogsMovie #JeremyRenner #Harriet #HarrietMovie #HarrietTubma…
2019-10-30 23:49:52,RT @MaLumiere: Forever and Ever and Ever. Amen. #HarrietTubman #HarrietMovie #Harriet #HarrietDeservesBetter https://t.co/xgZD63sPSi
2019-10-30 23:48:08,RT @rashaunps: “@CynthiaEriVo needs to do better. She refuses to admit or acknowledge her bias which comes as a blow to those she insults.…
2019-10-30 23:47:57,RT @ProudMisisipian: I wonder which blue check shill will they send to promote #HarrietMovie. Will it be Beyonce? Cardi B?  Fill in the bla…
2019-10-30 23:47:41,Forever and Ever and Ever. Amen. #HarrietTubman #HarrietMovie #Harriet #HarrietDeservesBetter https://t.co/xgZD63sPSi
2019-10-30 23:44:49,"MY LATEST: Today’s glut of fictional female movie heroes usually has superpowers and high tech. In real life, tiny… https://t.co/hQXcxVZsoX"
2019-10-30 23:43:27,RT @PeachesJenkins3: Cynthia Erivo's dark skin will not be used to shield her from criticism over her ethnic chauvinism toward ADOS people.…
2019-10-30 23:40:59,"Wonder when the ""woke"" culture gonna come after the movie @HarrietFilm for not having an American actress play SUCH… https://t.co/OceMRIW5aW"
2019-10-30 23:40:56,RT @PeachesJenkins3: Cynthia Erivo's dark skin will not be used to shield her from criticism over her ethnic chauvinism toward ADOS people.…
2019-10-30 23:40:06,"RT @Behembaba: ""... It's also especially interesting that--in the hell that white supremacists built--the Big Bad of Harriet is a Black man…"
2019-10-30 23:37:00,"I’m reeling from @CynthiaEriVo in #HarrietMovie — not only is she a damn good leading lady, but seeing an American… https://t.co/QBaUruz4kI"
2019-10-30 23:35:54,"RT @etnow: Exclusive: Cynthia Erivo isn't holding back anything ahead of the #HarrietMovie debut. 
https://t.co/9ZXass7cTu"
2019-10-30 23:35:27,RT @paynecth: @IAMQUEENLATIFAH Sis back  off this #HarrietMovie promotion.   We 💙you  and don’t want you to be caught on the wrong side of…
2019-10-30 23:34:37,"RT @GraceRandolph: #HarrietMovie REVIEW! 

If, unfortunately for some reason, you need convincing that Harriet Tubman belongs on the $20 bi…"
2019-10-30 23:33:49,"RT @Behembaba: ""... It's also especially interesting that--in the hell that white supremacists built--the Big Bad of Harriet is a Black man…"
2019-10-30 23:33:38,"RT @GraceRandolph: #HarrietMovie REVIEW! 

If, unfortunately for some reason, you need convincing that Harriet Tubman belongs on the $20 bi…"
2019-10-30 23:32:12,Even Harriet Tubman’s husband left her for another woman. I’m convinced men are garbage. LMAO #HarrietMovie
2019-10-30 23:27:54,RT @PeachesJenkins3: Cynthia Erivo's dark skin will not be used to shield her from criticism over her ethnic chauvinism toward ADOS people.…
2019-10-30 23:22:23,RT @PeachesJenkins3: Cynthia Erivo's dark skin will not be used to shield her from criticism over her ethnic chauvinism toward ADOS people.…
2019-10-30 23:20:33,RT @ProudMisisipian: I wonder which blue check shill will they send to promote #HarrietMovie. Will it be Beyonce? Cardi B?  Fill in the bla…
2019-10-30 23:14:51,RT @PeachesJenkins3: Cynthia Erivo's dark skin will not be used to shield her from criticism over her ethnic chauvinism toward ADOS people.…
2019-10-30 23:03:49,RT @ProudMisisipian: I wonder which blue check shill will they send to promote #HarrietMovie. Will it be Beyonce? Cardi B?  Fill in the bla…
2019-10-30 23:03:27,RT @rashaunps: “@CynthiaEriVo needs to do better. She refuses to admit or acknowledge her bias which comes as a blow to those she insults.…
2019-10-30 22:58:09,RT @PeachesJenkins3: Cynthia Erivo's dark skin will not be used to shield her from criticism over her ethnic chauvinism toward ADOS people.…
2019-10-30 22:54:37,"RT @Behembaba: ""... It's also especially interesting that--in the hell that white supremacists built--the Big Bad of Harriet is a Black man…"
2019-10-30 22:54:28,RT @Behembaba: @Azhrarn2 According to the review the villan of #HarrietMovie is a Black man as a bounty hunter; yet Harriet doesn't harm on…
2019-10-30 22:52:06,"#HarrietMovie Movie with Tom Steyer SC · South Carolina for Tom Steyer 2020

Please consider attending this event t… https://t.co/pJzDKozvg8"
2019-10-30 22:49:02,RT @ProudMisisipian: I wonder which blue check shill will they send to promote #HarrietMovie. Will it be Beyonce? Cardi B?  Fill in the bla…
2019-10-30 22:48:53,RT @PeachesJenkins3: Cynthia Erivo's dark skin will not be used to shield her from criticism over her ethnic chauvinism toward ADOS people.…
2019-10-30 22:46:17,RT @PeachesJenkins3: Cynthia Erivo's dark skin will not be used to shield her from criticism over her ethnic chauvinism toward ADOS people.…
2019-10-30 22:37:49,RT @PeachesJenkins3: Cynthia Erivo's dark skin will not be used to shield her from criticism over her ethnic chauvinism toward ADOS people.…
2019-10-30 22:37:46,"RT @Behembaba: ""... It's also especially interesting that--in the hell that white supremacists built--the Big Bad of Harriet is a Black man…"
2019-10-30 22:35:04,RT @AaronsPS4: Review: The Adventures of ‘Harriet’ Follows Familiar Tracks via @WeLiveEntmt https://t.co/44cgb3vxHz #HarrietMovie #MovieRev…
2019-10-30 22:34:25,RT @SrRoseMovies: My feature article on two fine films; #HarrietMovie opens on Nov1. “Two News Movies That Matter: Harriet &amp; A Hidden Life”…
