date,content
2019-11-01 23:59:23,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:58:40,RT @LaQuetteWrites: This is why critical analysis of the media and literature we consume is so important. If you don't recognize when the t…
2019-11-01 23:58:35,"RT @LaQuetteWrites: Again, it’s  also problematic because its gaze makes blacks co-conspirators in their own bondage by making Harriet’s ad…"
2019-11-01 23:58:30,"RT @BrigitteCamill4: Going in to see the #HarrietMovie!!!
#Timeless #SaveTimeless

@AMCTheatres https://t.co/x7McYcm5Bh"
2019-11-01 23:57:49,RT @Amazon_Queenn: Shouldn't you be protesting this movie seeing as @comcast is trying gut our civil rights act of 1866? @NatUrbanLeague @M…
2019-11-01 23:57:35,"RT @AfroPlexx: Instead of telling the true story of #HarrietTubman, @kasi_lemmons and others put out this trash  #HarrietMovie, where a Bla…"
2019-11-01 23:56:17,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:55:49,"@kasi_lemmons @DebraMChase our #civilrights are dismantled, Black women making Black men villains in the consciousn… https://t.co/CPWZuuOXcA"
2019-11-01 23:55:36,What’s the verdict on #HarrietMovie?
2019-11-01 23:55:28,Check out @CBCTheNational for a super interesting story on #HarrietMovie and #HarrietTubman’s Canadian connections.… https://t.co/NfQU22YrNe
2019-11-01 23:54:58,"RT @Rookie_Chi: So far everything I’m hearing about the #HarrietMovie is all wrong:

1. Harriet is Played By a Brittosh actress 🤦🏾‍♂️
2. Ha…"
2019-11-01 23:54:08,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:53:49,RT @kerrywashington: I cannot wait to see the brilliant @CynthiaEriVo in #HarrietMovie. And P.S. #ProudWifeyTweet (Nnamdi is an executive p…
2019-11-01 23:53:46,"RT @kwise891: @princss6 Rotten Tomatoes only ""verified"" ratings from people who bought tickets via fandango effect the score. Metacritic, I…"
2019-11-01 23:53:23,"RT @tonetalks: This film creates a fictional black male bounty hunter to chase Tubman &amp; ⁦@kcarterjackson⁩ says: #HarrietMovie places ""black…"
2019-11-01 23:53:20,There’s nothing like the power of @AishaHinds’ Harriet. Theaters should show the #Underground Minty episode after t… https://t.co/E23HnzJLiv
