date,content
2019-10-30 23:37:32,It is tea. My Granddaddy promoted the Coffee to get us away from ENGLAND. I'm healing one day at a time. I'm thinki… https://t.co/EKN5xw0Bdl
2019-10-30 23:15:46,#TwilightBreakingDawn actually used de-aging technology first in the final scene of Bella’s transformation into a… https://t.co/G2jYRNu9Bl
2019-10-30 23:01:18,"RT @jacklgoldsmith: Scorsese's #TheIrishman opens this weekend.  Here is my take on the book on which it is based.  As I report, the lead H…"
2019-10-30 22:59:53,"RT @jacklgoldsmith: Scorsese's #TheIrishman opens this weekend.  Here is my take on the book on which it is based.  As I report, the lead H…"
2019-10-30 22:59:00,"RT @jacklgoldsmith: Scorsese's #TheIrishman opens this weekend.  Here is my take on the book on which it is based.  As I report, the lead H…"
2019-10-30 22:55:14,"RT @jacklgoldsmith: Scorsese's #TheIrishman opens this weekend.  Here is my take on the book on which it is based.  As I report, the lead H…"
2019-10-30 22:53:46,"Scorsese's #TheIrishman opens this weekend.  Here is my take on the book on which it is based.  As I report, the le… https://t.co/4u2eJ3Eewb"
2019-10-30 22:35:04,"Starting tomorrow don't miss one of the most anticipated films of the year, Martin Scorsese's #TheIrishman. Check o… https://t.co/VqEGJYrzYT"
2019-10-30 22:33:47,"RT @TweetTastings: If you registered for our latest @WalshWhiskey @TweetTastings keep your eyes peeled tomorrow, as we'll be selecting and…"
2019-10-30 22:27:26,"RT @Variety: #TheIrishman composer Robbie Robertson opens up about his relationship with Martin Scorsese, and what the director always tell…"
2019-10-30 22:15:37,"RT @Variety: The #Oscars race has started. In contention for best picture?
#Joker
#LittleWomen
#UncutGems
#TheIrishman
#TheLighthouse
#Hust…"
2019-10-30 22:10:46,"RT @TODAYshow: Watch @HarrySmith's full interview with #TheIrishman stars Al Pacino, Robert De Niro and Ray Romano. https://t.co/F5XdExVMwB"
2019-10-30 22:08:32,"RT @cltfilmsociety: @TheIrishmanFilm Yes! We will be screening Scorsese's #theirishman December 2, 3,4 at 7pm. @ayrsleygrand Tickets $9/12…"
2019-10-30 22:03:27,"RT @KentSladyk: @StephenGraham73 Well done Stephen, well done. @StephenGraham73 @BoardwalkEmpire @KentSladyk #TheIrishman https://t.co/dkb0…"
2019-10-30 21:53:11,"#TheIrishman now classified in Alberta (14A Violence, Coarse Language); go to https://t.co/op1gYDRmIk for more information #FilmRatings"
